#      z     LWC    R_eff
#     (km)  (g/m^3) (um)
     50.000   0      0
     47.500   0      0
     45.000   0      0
     42.500   0      0
     40.000   0      0
     37.500   0      0
     35.000   0      0
     32.500   0      0
     30.000   0      0
     27.500   0      0
     25.000   0      0
     24.000   0      0
     23.000   0      0
     22.000   0      0
     21.000   0      0
     20.000   0      0
     19.000   0      0
     18.000   0      0
     17.000   0      0
     16.000   0      0
     15.000   0      0
     14.000   0      0
     13.000   0      0
     12.000   0      0
     11.000   0      0
     10.000   0      0
      9.000   0      0
      8.000   0      0
      7.000   0      0
      6.000   0      0
      5.000   0      0
      4.000   0.25    10.0     # The water cloud is located between
      3.000   0.25    10.0     # 2 and 5.0 km. The parameters may
      2.000   0.25    10.0     # vary with altitude.
      1.000   0      0
      0.000   0      0
