City,Region,Country,Source,Code,Latitude,Longitude,Time_Zone,Elevation,URL
ALGIERS,-,DZA,IWEC Data,603900,36.72,3.25,1.0,25.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/DZA/DZA_Algiers.603900_IWEC/DZA_Algiers.603900_IWEC.epw
Al Minya,Al Minya,EGY,ETMY,623870,28.08,30.73,2.0,40.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/EGY/EGY_Al.Minya.623870_ETMY/EGY_Al.Minya.623870_ETMY.epw
Alexandria,Al Iskandariyah,EGY,ETMY,623180,31.20,29.95,2.0,7.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/EGY/EGY_Alexandria.623180_ETMY/EGY_Alexandria.623180_ETMY.epw
Aswan,Aswan,EGY,ETMY,624140,23.97,32.78,2.0,194.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/EGY/EGY_Aswan.624140_ETMY/EGY_Aswan.624140_ETMY.epw
ASWAN,-,EGY,IWEC Data,624140,23.97,32.78,2.0,194.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/EGY/EGY_Aswan.624140_IWEC/EGY_Aswan.624140_IWEC.epw
Asyut,Asyut,EGY,ETMY,623930,27.05,31.02,2.0,70.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/EGY/EGY_Asyut.623930_ETMY/EGY_Asyut.623930_ETMY.epw
CAIRO,-,EGY,IWEC Data,623660,30.13,31.40,2.0,74.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/EGY/EGY_Cairo.623660_IWEC/EGY_Cairo.623660_IWEC.epw
Cairo Intl Airport,Al Qahirah,EGY,ETMY,623660,30.13,31.40,2.0,74.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/EGY/EGY_Cairo.Intl.Airport.623660_ETMY/EGY_Cairo.Intl.Airport.623660_ETMY.epw
El Arish,Shamal Sina,EGY,ETMY,623370,31.08,33.82,2.0,32.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/EGY/EGY_El.Arish.623370_ETMY/EGY_El.Arish.623370_ETMY.epw
Helwan,Al Qahirah,EGY,ETMY,623780,29.87,31.33,2.0,141.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/EGY/EGY_Helwan.623780_ETMY/EGY_Helwan.623780_ETMY.epw
Hurghada,Al Bahr al Ahmar,EGY,ETMY,624630,27.15,33.72,2.0,14.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/EGY/EGY_Hurghada.624630_ETMY/EGY_Hurghada.624630_ETMY.epw
Ismailia,Al Ismailiyah,EGY,ETMY,624400,30.60,32.25,2.0,13.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/EGY/EGY_Ismailia.624400_ETMY/EGY_Ismailia.624400_ETMY.epw
Kharga,Al Wadi al Jadid,EGY,ETMY,624350,25.45,30.53,2.0,73.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/EGY/EGY_Kharga.624350_ETMY/EGY_Kharga.624350_ETMY.epw
Luxor,Qina,EGY,ETMY,624050,25.67,32.70,2.0,99.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/EGY/EGY_Luxor.624050_ETMY/EGY_Luxor.624050_ETMY.epw
Al Minya,Al Minya,EGY,ETMY,623870,28.08,30.73,2.0,40.0',https://energyplus-weather.s3.amazonaws.com/africa_wmo_region_1/EGY/EGY_Al.Minya.623870_ETMY/EGY_Al.Minya.623870_ETMY.epw
